"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut",9,"2013-2017","All","Number","Margins of Error",450
"Connecticut",9,"2013-2017","All","Number","Median Household Income",73781
"Connecticut",9,"2013-2017","All","Ratio to State Median","Margins of Error",0.01
"Connecticut",9,"2013-2017","All","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",7591
"Connecticut",9,"2013-2017","American Indian and Alaska Native Alone","Number","Median Household Income",46004
"Connecticut",9,"2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",0.23
"Connecticut",9,"2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","Asian Alone","Number","Margins of Error",2400
"Connecticut",9,"2013-2017","Asian Alone","Number","Median Household Income",91702
"Connecticut",9,"2013-2017","Asian Alone","Ratio to State Median","Margins of Error",0.04
"Connecticut",9,"2013-2017","Asian Alone","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","Black or African American Alone","Number","Margins of Error",1160
"Connecticut",9,"2013-2017","Black or African American Alone","Number","Median Household Income",45972
"Connecticut",9,"2013-2017","Black or African American Alone","Ratio to State Median","Margins of Error",0.04
"Connecticut",9,"2013-2017","Black or African American Alone","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","Hispanic or Latino","Number","Margins of Error",1016
"Connecticut",9,"2013-2017","Hispanic or Latino","Number","Median Household Income",44153
"Connecticut",9,"2013-2017","Hispanic or Latino","Ratio to State Median","Margins of Error",0.03
"Connecticut",9,"2013-2017","Hispanic or Latino","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Connecticut",9,"2013-2017","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",-9999
"Connecticut",9,"2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",-9999
"Connecticut",9,"2013-2017","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",-9999
"Connecticut",9,"2013-2017","Some Other Race Alone","Number","Margins of Error",1621
"Connecticut",9,"2013-2017","Some Other Race Alone","Number","Median Household Income",39461
"Connecticut",9,"2013-2017","Some Other Race Alone","Ratio to State Median","Margins of Error",0.06
"Connecticut",9,"2013-2017","Some Other Race Alone","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","Two or More Races","Number","Margins of Error",2930
"Connecticut",9,"2013-2017","Two or More Races","Number","Median Household Income",55564
"Connecticut",9,"2013-2017","Two or More Races","Ratio to State Median","Margins of Error",0.07
"Connecticut",9,"2013-2017","Two or More Races","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","White Alone","Number","Margins of Error",521
"Connecticut",9,"2013-2017","White Alone","Number","Median Household Income",80277
"Connecticut",9,"2013-2017","White Alone","Ratio to State Median","Margins of Error",0.01
"Connecticut",9,"2013-2017","White Alone","Ratio to State Median","Median Household Income",1
"Connecticut",9,"2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",503
"Connecticut",9,"2013-2017","White Alone Not Hispanic or Latino","Number","Median Household Income",83780
"Connecticut",9,"2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Margins of Error",0.01
"Connecticut",9,"2013-2017","White Alone Not Hispanic or Latino","Ratio to State Median","Median Household Income",1
"Fairfield County",9001,"2013-2017","All","Number","Margins of Error",1202
"Fairfield County",9001,"2013-2017","All","Number","Median Household Income",89773
"Fairfield County",9001,"2013-2017","All","Ratio to State Median","Margins of Error",0.01
"Fairfield County",9001,"2013-2017","All","Ratio to State Median","Median Household Income",1.22
"Fairfield County",9001,"2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",23597
"Fairfield County",9001,"2013-2017","American Indian and Alaska Native Alone","Number","Median Household Income",63750
"Fairfield County",9001,"2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",0.4
"Fairfield County",9001,"2013-2017","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",1.39
"Fairfield County",9001,"2013-2017","Asian Alone","Number","Margins of Error",8764
"Fairfield County",9001,"2013-2017","Asian Alone","Number","Median Household Income",116347
"Fairfield County",9001,"2013-2017","Asian Alone","Ratio to State Median","Margins of Error",0.08
"Fairfield County",9001,"2013-2017","Asian Alone","Ratio to State Median","Median Household Income",1.27
"Fairfield County",9001,"2013-2017","Black or African American Alone","Number","Margins of Error",2122
"Fairfield County",9001,"2013-2017","Black or African American Alone","Number","Median Household Income",49315
"Fairfield County",9001,"2013-2017","Black or African American Alone","Ratio to State Median","Margins of Error",0.05
"Fairfield County",9001,"2013-2017","Black or African American Alone","Ratio to State Median","Median Household Income",1.07
"Fairfield County",9001,"2013-2017","Hispanic or Latino","Number","Margins of Error",1533
"Fairfield County",9001,"2013-2017","Hispanic or Latino","Number","Median Household Income",51265
"Fairfield County",9001,"2013-2017","Hispanic or Latino","Ratio to State Median","Margins of Error",0.04
"Fairfield County",9001,"2013-2017","Hispanic or Latino","Ratio to State Median","Median Household Income",1.16
"Fairfield County",9001,"2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
